q,prime,exponent,t,B,P,Q,E_over_Q,S_over_Q,M_over_Q,actual_reserve_over_Q,normalized_U
2,2,1,0.6931471805599453,-0.01733214192010618,0.0635235598523482,0.38635237215386686,-0.00944779195592828,1.2090322379201914,-0.8527832036884926,0.31380309265293616,0.9987674726030338
3,3,1,1.0986122886681098,-0.02097086314218022,0.06716228107442224,0.4717408807644292,-0.00947964414492938,0.7434150606184804,-0.4251748976202836,0.3237084783012291,0.9999458941298519
4,2,2,1.3862943611198906,-0.002111280731661558,0.048302698663903576,0.43526809824362456,-0.012612214358215024,0.611029617341828,-0.021756914884925906,0.6687062800367741,0.9831001160259067
5,5,1,1.6094379124341003,-0.020940471903501956,0.06713188983574397,0.5452497542511076,-0.011464042931855925,0.5484355723386196,-0.219929729857307,0.27133598535116454,0.9891336677039495
7,7,1,1.9459101490553132,-0.020408637257623152,0.06660005518986517,0.5923987092620906,0.0437293858754829,0.4893679151933761,-0.0664070189447021,0.4635342515476115,0.9931259788468447
8,2,3,2.0794415416798357,-0.0020536149791477998,0.04824503291138982,0.5213839887739243,-0.08199495555260618,0.47347352147481603,0.2095180385314605,0.6199214649111734,0.9822558345390731
9,3,2,2.1972245773362196,0.001316580526186606,0.04487483740605541,0.518017460160728,-0.10060137696882433,0.4617886856983261,0.08414299424073911,0.5716651085478344,0.9968946630495746
11,11,1,2.3978952727983707,-0.016531522567676316,0.06272294049991833,0.6444196111025424,0.02763774524249465,0.44602904530556536,0.020644527368432752,0.5151716505572681,0.9881771338821185
13,13,1,2.5649493574615367,-0.01192655056552816,0.05811796849777018,0.6468422424536459,-0.04847011474322975,0.4365094236673768,-0.034873244523055284,0.31041426884508183,0.9563271959227456
16,2,4,2.772588722239781,0.00026648885080088336,0.045924929081441135,0.6056203346589399,0.356568890809618,0.42821038936419187,0.7852929658094949,1.2788632066840755,0.9767025861964125
17,17,1,2.833213344056216,-0.01739794020936608,0.0635893581416081,0.7237447332431205,0.07288289763894007,0.4262767910490256,0.1718840549469326,0.624172932488034,0.996276365862456
19,19,1,2.9444389791664403,-0.013140640561056627,0.059332058493298645,0.7188038890451581,-0.1773986724798218,0.42362810188129724,-0.07090502595201914,0.3382122594514086,0.9988266862090497
23,23,1,3.1354942159291497,-0.004379302604540614,0.05057072053678263,0.6960522624610049,0.10071481184402685,0.42085576542071557,0.210213464852889,0.632256623798259,0.9999920398217979
25,5,2,3.2188758248682006,5.93863390492555e-05,0.04613203159319276,0.6787910821643434,-0.13091601354203064,0.4202736715049496,0.2117067414496136,0.750198446396371,0.9208769366583305
27,3,3,3.295836866004329,-0.0018878284191167077,0.048079246351358726,0.706467440219546,0.16652957936089194,0.4200092204724496,0.5968828657105426,1.015939161177835,0.9999948524592047
29,29,1,3.367295829986474,-0.016120853428149978,0.062312271360391996,0.8189186223534712,0.1501600074249188,0.41994884027546875,0.348432611366639,0.7119340965304382,0.9819326514677038
31,31,1,3.4339872044851463,-0.012505025754720789,0.05869644368696281,0.8081458123469187,-0.18641813730757317,0.42017654555519246,0.011814334671762525,0.3970462748920752,0.9930833361838057
32,2,5,3.4657359027997265,0.00014340850984478903,0.04604800942239723,0.721404487464326,-0.487332686634178,0.42039984017959553,0.007341284021352631,0.4017400439423044,0.996174768713774
37,37,1,3.6109179126442243,0.0017464262079613102,0.04444499172428071,0.7349512426285643,0.10448573312682083,0.42164853493938126,0.2789796266576916,0.7634792312544708,0.9777810180943056
41,41,1,3.713572066704308,-0.013010610455377672,0.05920202838761969,0.870433102577365,0.12740876852907557,0.42291531459706017,0.37134750740012223,0.8700907302421993,0.9678521948324603
43,43,1,3.7612001156935624,-0.014948899468284094,0.06114031740052611,0.8951871929055766,-0.09594388067991692,0.4236405883204551,0.1600481011906785,0.5778774457361527,0.999811833172398
47,47,1,3.8501476017100584,-0.007674215927304828,0.053865633859546846,0.8590940320026967,0.015005275541309697,0.42522061492558055,0.2629276890454075,0.6008566475936955,0.9578578346855234
49,7,2,3.8918202981106265,0.0006202557274873066,0.04557116220475471,0.7984093750294096,-0.13318356351622973,0.4260559930687022,0.2666723296948858,0.5839548452472122,0.9348202531712817
53,53,1,3.970291913552122,0.004854123741597771,0.04133729419064425,0.775466648594716,-0.06056372392338895,0.4277093797473355,0.16009247254410588,0.5906388776502041,0.9999560024101896
59,59,1,4.07753744390572,-0.003712750215834608,0.049904168148076626,0.8752763440242893,0.18383168134371813,0.4301632319735078,0.45042127324700504,0.9469466264455068,0.9762001650055623
61,61,1,4.110873864173311,-0.006457157696486748,0.052648575628728767,0.9065706973311493,-0.1194091382020994,0.430980193878471,0.15931700140454041,0.6530477237030096,0.9788007668963504
64,2,6,4.1588830833596715,-0.00043061867145166577,0.046622036603693684,0.8633749903526163,-0.06867853782057956,0.43223308436084257,0.44891122505289105,0.9749147671850328,0.9529352170264731
67,67,1,4.204692619390966,-0.007897352482436781,0.0540887704146788,0.9407181135781434,0.11633130623107416,0.43342842046334634,0.4098747843707087,0.8250196109725688,0.9982205394638933
71,71,1,4.2626798770413155,-0.01225082433821234,0.05844224227045436,0.9921630559011105,0.07675312259728073,0.4350184223360064,0.38679322351831824,0.8097193622194844,0.9992273170082239
73,73,1,4.290459441148391,-0.010273746207332735,0.05646516413957475,0.9820222210869368,-0.19132827078051604,0.43581565255711685,0.11717943095741135,0.5364993100361083,0.9985673512665281
79,79,1,4.3694478524670215,-0.001330968771231511,0.04752238670347353,0.9188262848906683,0.07270265494287216,0.4381663854811641,0.3670203639321442,0.7188104003912307,0.9611392147159377
81,3,4,4.394449154672439,0.0023390496836807884,0.04385236824856123,0.8881492548980607,0.005215613056772265,0.4389344957193594,0.4975606678177851,0.8234218401888601,0.9336377828963252
83,83,1,4.418840607796598,0.003476386775316087,0.04271503115692593,0.8819144836880192,-0.11856793504503388,0.4396859411777201,0.1667587081613524,0.5226155723165413,0.9636500171590473
89,89,1,4.48863636973214,0.010416202297733795,0.03577521563450822,0.8212783775979067,-0.07288766801085378,0.4418971111250954,0.19554821112542511,0.6957188662014994,0.9826099617638258
97,97,1,4.574710978503383,-0.003517109680963401,0.04970852761320542,0.9892487289832979,0.22469006735295186,0.4446551402976766,0.5452650904848559,1.116410560328952,0.9190777380583353
101,101,1,4.61512051684126,-0.016267615806306188,0.062459033738548206,1.1202421923070545,0.19678043343647794,0.44596769517140555,0.5458473931328346,1.0518270286922078,0.9818920812486872
103,103,1,4.634728988229636,-0.01934525309128543,0.06553667102352745,1.1531730425050206,-0.004999246419993881,0.4466209708768943,0.3503724585577614,0.8261343426630405,0.9957427604037793
107,107,1,4.672828834461906,-0.019122661034079058,0.06531407896632108,1.1622327979410294,-0.0019198815966494245,0.44792072375455055,0.35581820287801635,0.774840450372159,0.9958375639341653
109,109,1,4.6913478822291435,-0.016056478922564343,0.06224789685480636,1.1398702919657004,-0.19992913324711184,0.44856653981748296,0.15439872876393934,0.5451189585811264,0.9833697961962728
113,113,1,4.727387818712341,-0.00419260087072626,0.05038401880296828,1.0347217854468054,-0.25818525542451803,0.44984962495958536,0.07706907526109547,0.43611765450030987,0.9592575656132635
121,11,2,4.795790545596741,0.010565823005249969,0.03562559492699205,0.8850181598877346,0.15768177454431206,0.45230037855286237,0.5822254602008446,0.9300912666823887,0.9466868086209234
125,5,3,4.8283137373023015,0.006730076919835709,0.03946134101240631,0.9390739426546177,0.27834312464469385,0.45345380724968537,0.7482433278876283,1.1648201608753737,0.9933863005504947
127,127,1,4.844187086458591,0.0028611552100673843,0.043330262722174634,0.9879689677717465,0.14490567262202822,0.45401547868628883,0.47334687606749987,0.901901507052898,0.9968551176779915
128,2,7,4.852030263919617,0.0032742506415617684,0.04291716729068025,0.9851768602527499,-0.026061638716158932,0.4542997555573298,0.4885446283714879,0.9293234381054446,0.9991142133328642
131,131,1,4.875197323201151,0.0018397088212212531,0.044351709111020765,1.007335102526746,-0.0402862149920902,0.45513607178274434,0.29315453996238405,0.769723627753566,0.9977823956595308
137,137,1,4.919980925828125,0.000665257618537779,0.04552616031370424,1.0320883554710691,0.023083274708414588,0.45677018126988017,0.362676294441654,0.8701756800634094,0.9876655266143478
139,139,1,4.9344739331306915,0.0013749628952714477,0.04481645503697057,1.0277271486054547,-0.20299794717786893,0.4573053091405516,0.136074305101697,0.6280346704693507,0.9942572391789141
149,149,1,5.003946305945459,-0.0008474983843190648,0.04703891631656108,1.0713695519592752,0.1726369824250484,0.4598800571024811,0.5214414014262114,1.0384108469796285,0.9845893261776909
151,151,1,5.017279836814924,-0.0024837038893871233,0.04867512182162914,1.0934933033456051,-0.055619206926600155,0.46037559388436944,0.29730975198633397,0.8135854076510094,0.9852565204571008
157,157,1,5.056245805348308,-0.003930781632962663,0.05012219956520468,1.1205038363808375,0.001382422633283619,0.461838926462297,0.3594761313448752,0.8894756828506182,0.9782185865547272
163,163,1,5.093750200806762,-0.008154341970024431,0.05434575990226645,1.1777789780423613,0.08408900675524882,0.4632507828400397,0.4514629358182155,0.9588962833071418,0.9909036006309759
167,167,1,5.117993812416755,-0.010748466119449851,0.05693988405169187,1.2129081111921993,0.05755346391553832,0.4641687152512119,0.4301233078565294,0.8903505996573701,0.999927896813091
169,13,2,5.1298987149230735,-0.010082937422462607,0.056274355354704625,1.2093903177714895,-0.06035635681482767,0.464625174900158,0.3934468723211171,0.854501977891788,0.999940959799333
173,173,1,5.153291594497779,-0.009538153822015172,0.05572957175425719,1.2105805193220445,-0.051149204429391804,0.4655228445311914,0.3215057927872611,0.7837279728612022,0.9999497286257756
179,179,1,5.187385805840755,-0.008301143833137292,0.05449256176537931,1.2073131893203466,0.031198197474872624,0.4668377200975047,0.40378763574746174,0.8366706422884332,0.9947098466272167
181,181,1,5.198497031265826,-0.00693766177604066,0.05312907970828268,1.19542281584786,-0.14503236425531973,0.46726969145839803,0.22608096820896895,0.6365316158797086,0.985213934803694
191,191,1,5.25227342804663,-0.0032015774058624658,0.049392995338104484,1.1682116709996955,0.2110030226925132,0.4693629891232858,0.5789806556957587,0.9304801702804827,0.9369419121368276
193,193,1,5.262690188904886,-0.003106747995131054,0.04929816592737307,1.1701336797641853,0.0032164097510827714,0.4697687658671529,0.3715786474267139,0.7302148576983623,0.9440352810463575
197,197,1,5.2832037287379885,0.0004359607772230212,0.045755457155019,1.133085767688257,-0.07763040740028486,0.4705763834647169,0.28569250833559173,0.6420011986772447,0.9410360371174451
199,199,1,5.293304824724492,0.003816173045380067,0.04237524488686195,1.0931710116421087,-0.3141952027626237,0.4709781432914999,0.043200976779841076,0.4156932489748327,0.9562733350737604
211,211,1,5.351858133476067,0.01680204718912512,0.0293893707431169,0.9237681596094667,-0.0033948330059294083,0.4733011511791301,0.3238832496623395,0.8168490279620251,0.9982737793404884
223,223,1,5.407171771460119,0.003738803561386894,0.042452614370855124,1.12577769400897,0.3110249987782441,0.47545660850976845,0.6747502262720104,1.2515744408453726,0.9545455294004556
227,227,1,5.424950017481403,-0.0036631743485070756,0.049854592280749094,1.2254550809626168,0.197643893271412,0.4761456796970012,0.5745868397181494,1.1548956553717444,0.9521426775794534
229,229,1,5.43372200355424,-0.005908809441006566,0.052100227373248584,1.2555135184554358,0.006845939058879158,0.4764889223478557,0.3873595691778374,0.9706980751797938,0.9497148150625828
233,233,1,5.4510384535657,-0.007547393372963174,0.05373881130520519,1.2806464800847683,-0.07042282518486911,0.47717280675605034,0.31297892624423745,0.8979517281432187,0.9489628857409014
239,239,1,5.476463551931511,-0.009179909891301227,0.055371327823543245,1.308253583943522,-0.03240426216640475,0.47818022907034,0.3540277738745097,0.9279128708210538,0.959942409308475
241,241,1,5.484796933490655,-0.008931626529884718,0.055123044462126736,1.3080389724632455,-0.19464455043300427,0.4785123753408169,0.19179097090399594,0.7565082650143384,0.967545289027255
243,3,5,5.493061443340548,-0.0068303751351275754,0.053021793067369594,1.2855092561108954,-0.2423727283156439,0.47884553693266035,0.25137002579569756,0.7974410110704362,0.9802904582608336
251,251,1,5.5254529391317835,-0.006618714843649537,0.052810132775891555,1.293374322479814,0.03718384897869466,0.48013769624912644,0.4222191769213053,0.922630936583062,0.9982170055457001
256,2,8,5.545177444479562,-0.007737314871925471,0.05392873280416749,1.3134690333649304,0.13798147569415808,0.480923566149582,0.6405665809770452,1.1299497225606516,0.9996905823972239
257,257,1,5.54907608489522,-0.008524443441226826,0.054715861373468844,1.3243143975703995,0.038692014360394246,0.4810779558182123,0.42692686803987445,0.9146653283255008,0.9998083171164295
263,263,1,5.572154032177765,-0.010202477458692169,0.05639389539093419,1.3522585184673173,0.09828961933880592,0.4819982554219154,0.48924696659134564,0.9375538022923545,0.9951140649272979
269,269,1,5.594711379601839,-0.01243981578669813,0.05863123371894015,1.386633563833336,0.12332720202536769,0.4828979416303775,0.5174279202802536,0.9584536242748608,0.9924813194754868
271,271,1,5.602118820879701,-0.012463685921192402,0.05865510385343442,1.3894873419693998,-0.02021701129710121,0.48319494696485576,0.3741311927648212,0.801239761086731,0.9865268225031912
277,277,1,5.6240175061873385,-0.01037814626874653,0.05656956420098855,1.3720436591510101,0.01996035977627356,0.48407757284526637,0.4127400356106617,0.816659096388368,0.9725798788467062
281,281,1,5.638354669333745,-0.00848649817735364,0.05467791610959566,1.3537438083503273,-0.05379267245029327,0.48465685829027444,0.33731867666176385,0.7426398433850528,0.9732040907574353
283,283,1,5.645446897643238,-0.006437703538434536,0.052629121470676554,1.3304866001345714,-0.22275406468010367,0.48494554969971876,0.1661860058694495,0.5754371757527488,0.975636408246153
289,17,2,5.666426688112432,0.0016978605195108742,0.044493557412731144,1.229735011402356,-0.14845393557513897,0.4858036457871816,0.2979800117253801,0.6936467819567601,0.9655742460519053
293,293,1,5.680172609017068,0.005266717231834084,0.040924700700407934,1.1834312575514123,-0.14047679565406826,0.4863630082246808,0.23295804035579887,0.5993853769244933,0.9391899064927774
