y_prime,x_prime,order,block_prime_count,mu,max_abs_u,q_exact,q_upper_reduced,q_upper_margin,delta_rho,w_block_exact,w_block_upper_reduced,w_upper_margin,c_step_exact,c_step_upper_reduced,scaled_w_y,scaled_w_x,moment_1,moment_2,moment_3,moment_4,moment_5,moment_6,tail_remainder_bound,s1_recip_p_minus_1,s2_recip_p_minus_1
3329267,6382007,6,198412,2.1378156561953322e-07,8.658363737090724e-08,-2.8986874516266636e-05,-2.8986881108843168e-05,-6.592576531476999e-12,-5.942099885519518e-06,-2.3044774630747118e-05,-2.304478122332365e-05,-6.592576531476999e-12,2.0520780238793437,2.0520786109313605,2.0237017932483505,2.0110877888505585,-2.898671918954293e-05,3.2383717228764574e-10,-2.142273842615134e-15,1.329818480477329e-21,-5.6231382572291705e-28,1.9923946192620093e-34,4.913560620495433e-47,0.04238784581290167,9.379381493701544e-09
6382007,12253883,6,366319,1.1135232808531835e-07,4.533742026247012e-08,-2.3894253374234786e-06,-2.3894374728827302e-06,-1.2135459251602925e-11,1.3466707210697423e-05,-1.58561325481209e-05,-1.585614468358015e-05,-1.2135459249908859e-11,2.043328652360521,2.0433302162180076,2.0110877888505585,1.9967936212280015,-2.3893558247570224e-06,1.6329587792485354e-10,-5.602361510755455e-16,1.8107980457206934e-22,-3.9876757044185164e-29,7.358813884507375e-36,9.781790323282508e-49,0.040788086398968026,4.704878486805342e-09
12253883,29093377,6,1001501,5.154468223950051e-08,3.006197357713347e-08,-8.065251933905837e-06,-8.065197780261256e-06,5.4153644581307094e-11,5.4837535491591845e-06,-1.3549005483065022e-05,-1.354895132942044e-05,5.4153644581307094e-11,2.017689649171813,2.017681584723963,1.9967936212280015,1.9837862433749929,-8.065112621573334e-06,1.703172668930686e-10,-1.6342481894743573e-16,2.3914620501635716e-23,-2.418751119147594e-30,2.0578877848523926e-37,1.2547018189581095e-49,0.051613986970656445,2.830328194036724e-09
29093377,56048351,6,1535924,2.4378487519891262e-08,9.99355687092418e-09,-3.7953758520378744e-06,-3.795390823487156e-06,-1.4971449281724796e-11,2.718319588168675e-06,-6.513695440206549e-06,-6.513710411655831e-06,-1.4971449281724796e-11,1.9731783508015872,1.9731828860673013,1.9837862433749929,1.9884636893727992,-3.795368775059982e-06,4.409683736772959e-11,-2.547134825899938e-17,1.784292144648148e-24,-8.572024232808692e-32,3.4569570194313253e-39,1.0329894972043615e-52,0.03743970916253314,9.56727808087976e-10
