y_prime,x_prime,block_prime_count,previous_upper_e_y,reserve_x,moment_1,m1_step_threshold,required_constant,actual_constant,finite_c2_constant,c2_shortfall,additive_shortfall,dusart_2018_constant,axler_2018_constant,axler_2018_margin,actual_margin,cumulative_upper_e_x,beta_error_e_x,upper_minus_actual_e
3329267,6382007,198412,4.845955427112969e-05,3.948563686566251e-05,-2.8986716642975807e-05,-8.973917405467183e-06,1.5631810605906664,0.7709932827865524,2.0,0.4368189394093336,1.103523866594082e-05,2.05791034602006,,,2.0012825469817308e-05,1.9472837628153883e-05,1.947267979351963e-05,1.5783463425123045e-10
6382007,12253883,366319,1.9472837628153883e-05,3.0956665827078524e-05,-2.38930806517601e-06,1.148382819892464e-05,1.768795712392894,0.9761660390897731,2.0,0.2312042876071061,4.046717149106641e-06,2.628176465835656,,,1.3873220626847704e-05,1.7083529562977873e-05,1.708325438176672e-05,2.7518121115122085e-10
12253883,29093377,1001501,1.7083529562977873e-05,1.757953060802958e-05,-8.065137080848217e-06,4.960010450517066e-07,1.6296395078460582,0.8360425509574038,2.0,0.37036049215394184,3.995326209105597e-06,3.6523835753427147,,,8.561060881207005e-06,9.018392482129656e-06,9.018002268490477e-06,3.9021363917868257e-10
29093377,56048351,1535924,9.018392482129656e-06,1.1059458999219313e-05,-3.795372322201729e-06,2.041066517089657e-06,1.4772604428891802,0.697664614575961,2.0,0.5227395571108198,3.913515854283401e-06,4.703679469305283,1.4230764304707015,0.0541840124184787,5.836483182752872e-06,5.223020159927927e-06,5.2226264402044364e-06,3.937197234904488e-10
56048351,78580847,1250433,5.223020159927927e-06,1.0285586007341767e-05,2.812594175338745e-07,5.06256584741384e-06,1.6575382932364318,0.8869932294885514,2.0,0.34246170676356824,2.125046411986563e-06,5.364359313432566,1.6177227681315756,0.0398155251048562,4.781393045272253e-06,5.504279577461801e-06,5.503645571725002e-06,6.340057367992813e-10
78580847,108115627,1609755,5.504279577461801e-06,9.302106232377678e-06,-3.229361027479172e-07,3.797826654915877e-06,1.789141156079067,0.9965451656228108,2.0,0.2108588439209329,1.096241144913437e-06,6.077028275091967,1.8272360274922306,-0.03809487141316348,4.120653987638168e-06,5.181343474713884e-06,5.180734329979231e-06,6.091447346534551e-10
108115627,175589599,3596789,5.181343474713884e-06,8.129535172421618e-06,-1.993030309677124e-07,2.948191697707734e-06,2.0449761080357964,1.253113755947308,2.0,-0.044976108035796436,-1.7879383130611752e-07,7.353930055163016,2.2016532313690447,-0.15667712333324824,3.147895849153759e-06,4.982040443746172e-06,4.9813689595445965e-06,6.714842015753675e-10
175589599,258144067,4302127,4.982040443746172e-06,5.967197831652653e-06,-1.5385448932647705e-06,9.851573879064811e-07,1.8569731662255515,1.0715088943662818,2.0,0.14302683377444847,4.5959851313933223e-07,8.565355609917278,2.5559193720909077,-0.6989462058653562,2.5239893937656355e-06,3.4434955504814013e-06,3.443062202901359e-06,4.333475800422093e-10
258144067,339396977,4163803,3.4434955504814013e-06,3.975678114617776e-06,-1.6088597476482391e-06,5.321825641363745e-07,1.4385634392578612,0.6638234834114458,2.0,0.5614365607421388,1.5514791437346763e-06,9.549540017389528,2.8431625921703967,-1.4045991529125355,2.140923779037074e-06,1.8346358028331622e-06,1.834344832474244e-06,2.9097035891823e-10
339396977,499283831,8056199,1.8346358028331622e-06,4.536000954405408e-06,1.0095536708831787e-06,2.7013651515722457e-06,2.0299170890042624,1.2728763193276784,2.0,-0.029917089004262376,-6.684872677276613e-08,11.140350667684624,3.3065436985524213,-1.2766266095481589,1.691582077412157e-06,2.844189473716341e-06,2.8441516071175954e-06,3.786659874549514e-11
499283831,701361907,9999734,2.844189473716341e-06,3.55402956217819e-06,-7.208436727523804e-07,7.098400884618491e-07,1.9171367807344601,1.1454765688654645,2.0,0.08286321926553986,1.5361404661529047e-07,12.766784077987129,3.7793111973884406,-1.8621744166539804,1.4305242881929026e-06,2.1233458009639605e-06,2.1234816984794236e-06,-1.3589751546305706e-10
701361907,966679613,12918429,2.1233458009639605e-06,2.642312044415084e-06,-7.078051567077637e-07,5.189662434511235e-07,1.6998109583993555,0.910341607596076,2.0,0.3001890416006445,4.6666596387811493e-07,14.527016180637242,4.2900182946378695,-2.590207336238514,1.2272882233821392e-06,1.4155406442561969e-06,1.415169190721599e-06,3.714535345977765e-10
