y_prime,x_prime,block_prime_count,q_exact,moment_1,moment_2,q_minus_m1,c_step_q,c_step_m1,margin_q_c_130,margin_q_c_135,margin_q_c_140,margin_m1_c_140
3329267,6382007,198412,-2.8986874516266636e-05,-2.8986704816769127e-05,3.2380811820790265e-10,-1.6969949750977875e-10,2.581206765043138,2.5811916537385113,1.281206765043138,1.231206765043138,1.1812067650431382,1.1811916537385114
6382007,12253883,366319,-2.3894253374234786e-06,-2.389327687479792e-06,1.633970124147271e-10,-9.76499436866618e-11,0.30791753536471334,0.3079049515314721,-0.9920824646352867,-1.0420824646352869,-1.0920824646352867,-1.092095048468528
12253883,29093377,1001501,-8.065251933905837e-06,-8.06523103946688e-06,1.6990633209299564e-10,-2.089443895680887e-11,1.2010605033221582,1.2010573917658702,-0.09893949667784185,-0.1489394966778419,-0.19893949667784172,-0.19894260823412968
29093377,56048351,1535924,-3.7953758520378744e-06,-3.7954802105666374e-06,3.317021151771549e-11,1.0435852876300444e-10,1.1497242284571394,1.1497558415393854,-0.15027577154286065,-0.2002757715428607,-0.2502757715428605,-0.25024415846061454
56048351,99999989,2420442,-1.18676808094631e-06,-1.186499412053621e-06,1.1900598110019684e-11,-2.686688926889502e-10,0.5766976713199029,0.5765671144509936,-0.7233023286800971,-0.7733023286800972,-0.823302328680097,-0.8234328855490063
