y_prime,x_prime,w_y,w_x,q_exact,moment_1,delta_rho,w_block_exact,w_block_m1_upper,identity_error,c_step_exact,c_step_m1,scaled_w_y,scaled_w_x
3329267,6382007,7.385034121457777e-05,5.080556662248723e-05,-2.8986874516266636e-05,-2.8986704816769127e-05,-5.942099885519518e-06,-2.3044774630747118e-05,-2.304460493124961e-05,-3.865657793866717e-14,2.0520780238793437,2.052062912574717,2.0237017932483505,2.0110877888505585
6382007,12253883,5.080556662248723e-05,3.49494340000369e-05,-2.3894253374234786e-06,-2.389327687479792e-06,1.3466707210697423e-05,-1.58561325481209e-05,-1.5856034898177215e-05,7.432943149865423e-14,2.043328652360521,2.0433160685272798,2.0110877888505585,1.9967936212280013
12253883,29093377,3.49494340000369e-05,2.140042833760147e-05,-8.065251933905837e-06,-8.06523103946688e-06,5.4837535491591845e-06,-1.3549005483065022e-05,-1.3548984588626065e-05,1.7937040572193596e-13,2.017689649171813,2.0176865376155253,1.9967936212280013,1.9837862433749929
29093377,56048351,2.140042833760147e-05,1.4886732921146753e-05,-3.7953758520378744e-06,-3.7954802105666374e-06,2.718319588168675e-06,-6.513695440206549e-06,-6.513799798735312e-06,-2.3751832139008548e-14,1.9731783508015872,1.9732099638838332,1.9837862433749929,1.9884636893727992
