prime_index,x_prime,reciprocal_prime_sum,loglog_plus_b,formula_upper_c,formula_margin,formula_margin_percent_of_sum,actual_remainder_minus_b,actual_constant,tested_constant,constant_margin,constant_margin_percent_of_actual,passes_formula_upper
5000000,86028121,3.1667724827291486,3.1667676975345658,3.166778024551522,5.541822373444916e-06,0.00017499906935748447,4.785194582801466e-06,0.8108915241648129,1.75,0.9391084758351871,115.81185002549294,True
10000000,179424673,3.206218885161224,3.2062133130225225,3.2062201872359837,1.302074759568228e-06,4.061091292283226e-05,5.5721387015594814e-06,1.4185248658779752,1.75,0.3314751341220248,23.367594188549038,True
15000000,275604541,3.228549166394596,3.2285458960982796,3.2285513201271634,2.1537325674003682e-06,6.670899083149156e-05,3.2702963164155108e-06,1.0551231707125444,1.75,0.6948768292874556,65.85741348265458,True
20000000,373587883,3.244077722248025,3.244076556148108,3.2440811430970626,3.4208490378162537e-06,0.00010544904686949772,1.1660999166274166e-06,0.444887195031672,1.75,1.305112804968328,293.3581410171663,True
25000000,472882027,3.255949035013308,3.2559464887605816,3.2559505176824732,1.4826691652203294e-06,4.553723505117055e-05,2.5462527264430435e-06,1.1059887461315587,1.75,0.6440112538684413,58.22945813155999,True
30000000,573259391,3.265538901567834,3.265537323635041,3.2655409479373536,2.046369519614899e-06,6.266559919504883e-05,1.5779327928733267e-06,0.7619072994755047,1.75,0.9880927005244953,129.68673501418036,True
35000000,674506081,3.273571799630273,3.273569815538207,3.2735731300426347,1.330412361610911e-06,4.064100142117462e-05,1.9840920661984285e-06,1.047565689319502,1.75,0.702434310680498,67.05396309197553,True
40000000,776531401,3.2804754101636218,3.2804745952239918,3.280477663068327,2.2529047054575813e-06,6.867616499967034e-05,8.149396300005662e-07,0.46486855152553014,1.75,1.2851314484744698,276.45050289100743,True
45000000,879190747,3.286523274747493,3.2865218665859737,3.286524732380043,1.4576325497728249e-06,4.435180973683554e-05,1.4081615193894947e-06,0.8598952329858993,1.75,0.8901047670141007,103.51316449601678,True
50000000,982451653,3.2919006571668037,3.291899557820816,3.2919022542898575,1.597123053809213e-06,4.8516745191933816e-05,1.0993459875763278e-06,0.7134721180264433,1.75,1.0365278819735568,145.27938174244676,True
50847534,999999937,3.292755718800315,3.2927542323917565,3.2927569028135615,1.1840132465579245e-06,3.595812588822437e-05,1.4864085584598286e-06,0.9740839339733807,1.75,0.7759160660266193,79.65597613971356,True
