y_prime,x_prime,order,endpoint_mode,exact_nu,exact_s1,exact_s2,nu_lower,nu_upper,s1_lower,s1_upper,s2_lower,s2_upper,lambda_upper,p_upper,remainder_upper,delta_rho_lower,w_block_upper,c_step_certified,exact_w_block,exact_c_step,certificate_margin
3329267,6382007,6,theta-bound,198412,0.04238784581286206,9.379352439598523e-09,195866.4944482796,200559.1082045373,0.04068391518252455,0.04405713052339271,8.690073764537757e-09,9.973945197966254e-09,8.658490019767945e-08,0.0021844803362617267,1.0452965386410379e-45,-5.774330158815297e-05,0.00224222363784988,,-2.3044774630747118e-05,2.0520780238793437,0.002265268412480627
6382007,12253883,6,theta-bound,366319,0.040788086399037936,4.704979621338201e-09,361737.07166194107,369977.7327617782,0.039207966515030175,0.042303485123326615,4.37246389692122e-09,4.986920156450121e-09,4.533820589458189e-08,0.0020232178408077094,2.081267387962125e-47,-5.312950523804419e-05,0.0020763473460457538,,-1.58561325481209e-05,2.043328652360521,0.0020922034785938745
12253883,29093377,6,theta-bound,1001501,0.05161398697056667,2.829917259215322e-09,992392.9080495111,1008821.2263270012,0.049505173444370075,0.05370362349000076,2.598711465369982e-09,3.0167979240120923e-09,3.006210697209155e-08,0.002551045142275021,3.197805870887495e-48,-4.846394065630503e-05,0.0025995090829313257,,-1.3549005483065022e-05,2.017689649171813,0.0026130580884143905
29093377,56048351,6,theta-bound,1535924,0.03743970916255001,9.458011817142258e-10,1519333.538216605,1550385.6080316491,0.03614387733602923,0.03871165474232698,8.856327054784205e-10,9.973825203359962e-10,9.993597180316153e-09,0.0016726005901561657,2.204928813042789e-51,-4.430614994993121e-05,0.0017169067401060969,,-6.513695440206549e-06,1.9731783508015872,0.0017234204355463035
