y_prime,x_prime,block_prime_count,h_log,mu,actual_a_x,required_a_upper,actual_margin,rosser_schoenfeld_finite_a_upper,rosser_minus_required,exact_moment_1,m1_step_threshold
3329267,6382007,198412,0.04241682799770283,2.1378156561953322e-07,0.26151669024232005,0.26153670306778987,2.0012825469817308e-05,0.26154773830645583,1.103523866596845e-05,-2.8986716642975807e-05,-8.973917405467183e-06
6382007,12253883,366319,0.04079047347188573,1.1135232808531835e-07,0.26151429846440033,0.26152817167320097,1.3873208800641024e-05,0.2615322184021763,4.046728975304337e-06,-2.38930806517601e-06,1.148381637271796e-05
12253883,29093377,1001501,0.051622050807542,5.154468223950051e-08,0.2615062317975214,0.2615147928661987,8.561068677304107e-06,0.2615187881846117,3.995318412997051e-06,-8.065137080848217e-06,4.960088411488078e-07
29093377,56048351,1535924,0.03744350406550147,2.4378487519891262e-08,0.2615024359486937,0.2615082725336312,5.836584937468636e-06,0.26151218594773074,3.91341409955448e-06,-3.795372322201729e-06,2.0411682718054214e-06
56048351,99999989,2420442,0.03193414957404445,1.3193519850525009e-08,0.2615012489643207,0.26150556635296873,4.317388648034104e-06,0.26150807021035233,2.503857383595598e-06,-1.1869706213474274e-06,3.130292380384017e-06
