last_prime,cutoff_y,alpha,block_prime_count,beta_error_e_x,beta_error_e_y,q_exact,partial_order,partial_value,remainder_bound,q_upper,q_upper_margin,max_abs_u,scaled_q,scaled_q_upper,induction_f_gap,induction_c_step_max,induction_margin_c_130,induction_margin_c_135,induction_margin_c_140,induction_margin_c_145
3329267,1823,0.5,238576,4.845955427112969e-05,0.0034427707162882903,-0.003394311162007946,8,-0.0033943111559497276,1.3444595044508905e-29,-0.0033943111559497276,6.058218163240703e-12,0.0005435406538247811,-93.0134305735942,-93.01343040758242,0.0030828895047481904,1.1010161573166646,-0.19898384268333547,-0.2489838426833355,-0.29898384268333533,-0.3489838426833354
3329267,8191,0.6,237829,4.845955427112969e-05,0.0009585939927538867,-0.0009101344384838672,8,-0.0009101344313509994,6.278466498522589e-35,-0.0009101344313509994,7.1328678640653065e-12,0.00011968415229657303,-24.94017854169793,-24.940178346237794,0.0011897278995332884,0.7649937701789047,-0.5350062298210954,-0.5850062298210954,-0.6350062298210952,-0.6850062298210953
3329267,36781,0.7,234957,4.845955427112969e-05,0.0005104408913032543,-0.0004619813370363435,8,-0.0004619813568143032,2.151392959432137e-40,-0.0004619813568143032,-1.977795970617771e-11,2.5666152160486178e-05,-12.65955505190233,-12.659555593872643,0.000459496759814363,1.0054072133195107,-0.2945927866804894,-0.3445927866804894,-0.39459278668048925,-0.4445927866804893
3329267,165133,0.8,223753,4.845955427112969e-05,0.0001787241093809122,-0.00013026455510994905,8,-0.0001302645773768134,3.2694097017813387e-46,-0.0001302645773768134,-2.2266864350625748e-11,5.057414448783604e-06,-3.5696059007600844,-3.569606510933207,0.0001683295485463219,0.7738663740369174,-0.5261336259630827,-0.5761336259630827,-0.6261336259630825,-0.6761336259630826
3329267,741493,0.9,179219,4.845955427112969e-05,8.84892511385793e-05,-4.002969684892277e-05,8,-4.0029709906268176e-05,3.262598093039812e-53,-4.0029709906268176e-05,-1.3057345406731341e-11,7.607091463412985e-07,-1.0969234259998537,-1.0969237838069117,4.942541987195564e-05,0.8099012615365022,-0.49009873846349783,-0.5400987384634979,-0.5900987384634977,-0.6400987384634977
3329267,1163543,0.93,148552,4.845955427112969e-05,7.132046698155037e-05,-2.2860912703204228e-05,8,-2.2860912197134534e-05,5.803328257072925e-56,-2.2860912197134534e-05,5.060696938005878e-13,3.709160358855712e-07,-0.6264516760775117,-0.6264516622098149,2.9882564849101014e-05,0.7650251011777619,-0.5349748988222381,-0.5849748988222382,-0.634974898822238,-0.684974898822238
3329267,1571189,0.95,119713,4.845955427112969e-05,5.454680748728791e-05,-6.087253248486524e-06,8,-6.087259162047739e-06,3.173717370593829e-58,-6.087259162047739e-06,-5.913561214975882e-12,2.0798342892369703e-07,-0.1668074258333602,-0.16680758788114816,1.9424147798412732e-05,0.3133861637186042,-0.9866138362813959,-1.036613836281396,-1.0866138362813957,-1.1366138362813958
3329267,2121667,0.97,81559,4.845955427112969e-05,4.825350181691945e-05,2.0605242845653238e-07,8,2.0606037084038374e-07,3.22369798214149e-61,2.0606037084038374e-07,7.94238385136051e-12,9.785997923117407e-08,0.005646401385730498,0.005646619028820269,1.0634325366155778e-05,,,,,
3329267,2465473,0.98,58110,4.845955427112969e-05,3.640846576358214e-05,1.2051088480246469e-05,8,1.2051086930028727e-05,2.4394507458533e-63,1.2051086930028727e-05,-1.5502177415826959e-12,5.793316737445764e-08,0.33023285968589755,0.3302328172056819,6.77902445665435e-06,,,,,
3329267,2657741,0.985,45058,4.845955427112969e-05,4.436023432186076e-05,4.099319929227671e-06,8,4.0993176846727e-06,9.169835466433755e-65,4.0993176846727e-06,-2.2445549709981263e-12,4.0827778491348e-08,0.11233260341712788,0.11233254191016874,4.9728853518124174e-06,,,,,
3329267,2865001,0.99,31076,4.845955427112969e-05,4.646533920293905e-05,1.9942150448967744e-06,8,1.994214244849332e-06,1.0954132641575318e-66,1.994214244849332e-06,-8.000474422527554e-13,2.5626042177151476e-08,0.05464695891863816,0.05464693699514509,3.243172191415236e-06,,,,,
3329267,3088399,0.995,16133,4.845955427112969e-05,3.1267895562070436e-05,1.7191658701098608e-05,8,1.7191657226260477e-05,1.1481123664660616e-69,1.7191657226260477e-05,-1.4748381315309814e-12,1.3053822467412601e-08,0.47109857544516387,0.47109853503055615,1.5867581628590264e-06,,,,,
6382007,2521,0.5,436900,1.947267979351963e-05,0.0020592194260844465,-0.0020397467463226793,8,-0.0020397467318760596,1.0341751384563249e-30,-0.0020397467318760596,1.4446619681779405e-11,0.0003936691693251504,-80.74134482857137,-80.74134425671632,0.0025175718725790187,0.810203972364264,-0.48979602763573604,-0.5397960276357361,-0.5897960276357359,-0.639796027635736
6382007,12101,0.6,435821,1.947267979351963e-05,0.0006302043836492466,-0.000610731703891032,8,-0.0006107316802124573,2.7788331695667606e-36,-0.0006107316802124573,2.3678574725960466e-11,8.143138581151455e-05,-24.17520664783839,-24.17520571054558,0.0009417079669626806,0.6485361721875083,-0.6514638278124918,-0.7014638278124918,-0.7514638278124917,-0.8014638278124917
6382007,57991,0.7,431396,1.947267979351963e-05,0.0004875481697661499,-0.00046807549001737225,8,-0.00046807545211226,5.858125789329626e-42,-0.00046807545211226,3.790511226295715e-11,1.641095324789177e-05,-18.52830240490869,-18.528300904472548,0.0003533459384836016,1.3246945871828177,0.024694587182817695,-0.02530541281718235,-0.07530541281718217,-0.12530541281718222
6382007,277919,0.8,412994,1.947267979351963e-05,0.0001642270236432708,-0.0001447543438650445,8,-0.00014475431282218914,5.797082094985234e-48,-0.00014475431282218914,3.104285535224238e-11,3.057309981402412e-06,-5.729956630406221,-5.729955401605689,0.0001260632864812842,1.148267008283017,-0.15173299171698296,-0.201732991716983,-0.2517329917169828,-0.30173299171698287
6382007,1331857,0.9,334990,1.947267979351963e-05,5.771670176768495e-05,-3.824402201188515e-05,8,-3.824400619476683e-05,3.9110284644283155e-55,-3.824400619476683e-05,1.5817118319586768e-11,4.362753407427533e-07,-1.5138515477276826,-1.5138509216227964,3.618245901359206e-05,1.0569764255215583,-0.2430235744784417,-0.29302357447844174,-0.34302357447844156,-0.3930235744784416
6382007,2131127,0.93,279316,1.947267979351963e-05,5.09409703566277e-05,-3.146829062880552e-05,8,-3.146829650658405e-05,6.145871899378339e-58,-3.146829650658405e-05,-5.877778529194723e-12,2.094178350731113e-07,-1.2456409646965776,-1.2456411973625905,2.1745225593971234e-05,1.4471358952150164,0.14713589521501635,0.09713589521501631,0.04713589521501649,-0.0028641047849835566
6382007,2915467,0.95,226125,1.947267979351963e-05,3.633742962705355e-05,-1.6864749887893216e-05,8,-1.68647465608334e-05,3.096633348960897e-60,-1.68647465608334e-05,3.3270598156652422e-12,1.1615857054003698e-07,-0.6675743391187565,-0.6675742074204051,1.4081525418356531e-05,1.1976505428061572,-0.10234945719384281,-0.15234945719384285,-0.20234945719384267,-0.2523494571938427
6382007,3988487,0.97,154861,1.947267979351963e-05,2.7303914782006444e-05,-7.831234987775576e-06,8,-7.831246140936689e-06,2.8578860204739126e-63,-7.831246140936689e-06,-1.1153161112560325e-11,5.403226888134327e-08,-0.3099916426985357,-0.3099920841853178,7.681784845798218e-06,1.0194565843926522,-0.28054341560734786,-0.3305434156073479,-0.3805434156073477,-0.43054341560734777
6382007,4665049,0.98,110606,1.947267979351963e-05,2.1815733803887127e-05,-2.3430540302925296e-06,8,-2.343049507953495e-06,2.0555022133989088e-65,-2.343049507953495e-06,4.52233903477616e-12,3.169996887208981e-08,-0.09274746178803091,-0.09274728277574122,4.888488048896125e-06,0.4792994243859472,-0.8207005756140529,-0.8707005756140529,-0.9207005756140527,-0.9707005756140528
6382007,5045251,0.985,85845,1.947267979351963e-05,3.5224340601214266e-05,-1.5751660830324102e-05,8,-1.575165393661506e-05,7.391521422860024e-67,-1.575165393661506e-05,6.893709043144297e-12,2.2148212375228127e-08,-0.6235138166131455,-0.6235135437325342,3.5829849349075154e-06,4.396237835987899,3.096237835987899,3.0462378359878985,2.9962378359878987,2.9462378359878985
6382007,5456417,0.99,59277,1.947267979351963e-05,3.43814244887497e-05,-1.490874470730548e-05,8,-1.4908750538112385e-05,8.586404385279867e-69,-1.4908750538112385e-05,-5.830806904945601e-12,1.3721365155205945e-08,-0.5901478208232728,-0.5901480516299609,2.3347836070570447e-06,6.385495637818279,5.085495637818279,5.035495637818279,4.985495637818278,4.935495637818279
6382007,5901083,0.995,30771,1.947267979351963e-05,1.8892395056369082e-05,5.802847231183711e-07,8,5.802863778306169e-07,6.151405758568595e-72,5.802863778306169e-07,1.654712245829672e-12,6.558109166832082e-09,0.022969993217305286,0.022970058717442628,1.1412882968750184e-06,,,,,
