y_prime,x_prime,prime_count,chebyshev_integral,sqrt_weight_integral,mvdc_center_k,required_k_for_c_190,required_k_for_c_200,required_k_for_c_205,center_margin_c_200,weighted_variance,weighted_std,weighted_skewness,weighted_kurtosis,min_sample_k,max_sample_k,mean_sample_k,s2_block,f_gap
3329267,6382007,198412,-2.304946430481963e-05,2.1163284783679247e-05,1.089125083389464,1.0084272304120925,1.061490684915682,1.0880224121674766,0.027634398473781907,0.053720713352832274,0.23177729257378143,0.031744013835663894,2.572960533138797,0.41325063565475534,1.7018572568382546,1.0891251012734704,4.689674787880302e-09,1.1229969992652718e-05
6382007,12253883,366319,-1.5858485036746752e-05,1.4656395231433586e-05,1.0820181078861084,1.0061315434068383,1.0590773873011043,1.085550309248237,0.02294072058500407,0.04041253234096964,0.20102868536845592,0.20662961357565185,2.602693391349556,0.5033049551188866,1.6745585323183765,1.0820181152685462,2.3524894361476346e-09,7.759952139761448e-06
12253883,29093377,1001501,-1.3550420441865489e-05,1.271261020852473e-05,1.0659038717932958,1.0037373470549271,1.056559770397814,1.0829709820692572,0.009344101395481808,0.03634165988258458,0.19063488632090556,-0.35657778323670514,3.0020270458815967,0.41408019947938896,1.6053677398146167,1.0659038744955194,1.4149585198338106e-09,6.715108782277981e-06
29093377,56048351,1535924,-6.514168339956504e-06,6.263520352390973e-06,1.0400171107402647,1.0014492784573958,1.0541531614938702,1.0805051030121071,-0.014136050753605467,0.07440437036620189,0.2727716450920108,0.11730175904589396,2.109693484973245,0.34673829651488186,1.8050360667419403,1.0400171116937516,4.729005743625015e-10,3.3011184404898904e-06
