epsilon,last_prime,beta_error_e,theta_minus_x,ca_layer_h,true_deficit_a,bridge_b,bridge_quadratic_remainder,endpoint_term,modified_error_w,reserve_after_cancellation,exact_gap,reconstructed_gap,reconstruction_error,scaled_endpoint,scaled_modified_error_w,scaled_a_plus_h,scaled_reserve_after_cancellation,scaled_exact_gap
0.001,181,0.01822172732684213,-13.527965898906643,24.846380696446943,0.018019079199661874,0.011600323390995754,-0.0004286684624866654,-0.014377259934624392,0.032598987261466525,0.04399666252528202,0.0113976752638155,0.011397675263815493,-6.938893903907228e-18,-1.0055257863288591,2.2799283346522423,3.1070465497265127,3.077066067021444,0.797137732369202
0.0005,337,0.008638265432628245,-25.38104099475197,34.327511273204664,0.011317049645741862,0.004491743941966551,-6.959820177803756e-05,-0.012940479131787171,0.021578744564415414,0.02874927271949558,0.007170528155080166,0.007170528155080166,0.0,-1.3825934023613222,2.305527450889728,3.079080797045621,3.0716447497698938,0.7661172988801659
0.0002,751,0.006010177802896477,-31.81378882228455,45.31844904970285,0.008186709650321443,0.0026880284016130756,-2.7744995435918275e-05,-0.006397720482258443,0.012407898285154921,0.01727245853419296,0.004864560249038041,0.004864560249038041,0.0,-1.160901641889771,2.2514815287073593,3.13921727875858,3.13418279642302,0.8827012677156606
0.0001,1381,0.0033852104769158675,-49.93192155675388,67.06773134596574,0.004853384622915941,0.0017040728258801503,-1.2012313409041605e-05,-0.005000489011826272,0.00838569948874214,0.011557946460622363,0.003172246971880224,0.0031722469718802222,-1.734723475976807e-18,-1.343635408794628,2.2532441795067384,3.108857203828763,3.105629485579657,0.8523853060729191
5e-05,2549,0.002224799495487151,-68.37913928935768,88.05610000027264,0.0034271268166228388,0.00097993437174505,-4.2595895365217604e-06,-0.0034201590863006813,0.005644958581787832,0.00782722027466857,0.0021822616928807376,0.0021822616928807385,8.673617379884035e-19,-1.3543743247981963,2.23538928301493,3.101246165927895,3.099559379273569,0.8641700962586387
2e-05,5749,0.0017024777119707402,-81.30346993201601,138.22880781120602,0.001890158350122061,0.001137544783806851,-6.273059712497749e-06,-0.0016336549437025844,0.0033361326556733246,0.004661358077631496,0.0013252254219581717,0.0013252254219581713,-4.336808689942018e-19,-1.0722916566569949,2.18975691651977,3.0637203677679214,3.0596028828502204,0.8698459663304511
1e-05,10753,0.001285610004888138,-98.74535552060115,179.61821627190147,0.0013371385764206468,0.0008068342759826399,-3.3570954925566266e-06,-0.0009892395826340962,0.0022748495875222342,0.0031332124350373827,0.0008583628475151489,0.0008583628475151484,-4.336808689942018e-19,-0.9522519153580966,2.1897929630974713,3.0192931980621642,3.016061624367635,0.8262686612701639
5e-06,20173,0.0006738254632785434,-169.527502986919,240.3090604919198,0.0009256199945012035,0.00035330226041898824,-6.819868641115773e-07,-0.000847820642183074,0.0015216461054616175,0.002126742897103266,0.0006050967916416483,0.0006050967916416483,0.0,-1.193589311220407,2.1422225840863187,2.9950575340903995,2.994097410933572,0.8518748268472532
2e-06,46511,0.00034999484013065185,-283.975291535382,362.58521184764686,0.0005486882168572428,0.000157114264083189,-1.450883962613456e-07,-0.0005680933181158525,0.0009180881582465044,0.0012738957990562844,0.0003558076408097799,0.00035580764080978,1.0842021724855044e-19,-1.3167481460031343,2.1279794035387423,2.953020081364894,2.952683790000973,0.8247043864622304
1e-06,87833,0.0003033931804115042,-318.4899950999243,480.9827292579139,0.0003877181764088573,0.0001623586657242228,-1.633301281793963e-07,-0.00031854734878381896,0.0006219405291953232,0.000868624190916899,0.0002466836617215759,0.0002466836617215758,-1.0842021724855044e-19,-1.0746497347524087,2.098175443252904,2.9309372142378405,2.9303862045383555,0.8322107612854522
5e-07,166357,0.0001494894195062102,-558.6874927154277,640.6606803844043,0.0002719372118436677,4.0977180079412866e-05,-1.0934802276685014e-08,-0.0002793541130406663,0.0004288435325468765,0.0005922685049637469,0.00016342497241687035,0.0001634249724168704,5.421010862427522e-20,-1.369772393015427,2.102772088844857,2.9041563652368394,2.9041027480191843,0.8013306591743272
