x,theta_x,beta_error_e,optimal_s,optimal_log_n,optimal_deficit_a,optimal_bridge_b,optimal_total_a_plus_b,optimal_margin_vs_e,active_prime_cutoff,active_prime_count,c_active_over_sqrt_x,max_continuous_exponent,floor_log_deficit_a,floor_log_bridge_b,floor_log_total_a_plus_b,floor_log_margin_vs_e
1000003,998497.9905391902,3.972120678508162e-05,16.930823044083247,1000003.0000000112,5.062619808635106e-05,8.881784197001248e-16,5.062619808723924e-05,1.0904991302157618e-05,4747.6807851808,639,4.747673663675645,23.426014443867487,0.00014324640812951679,0.0,0.00014324640812951679,0.00010352520134443517
1999993,1998587.7221372908,4.994729682339383e-05,17.183545909525698,2000263.3257884947,4.3989210470915424e-05,9.315378383466446e-06,5.330458885438187e-05,3.3572920309880437e-06,5387.156398097703,710,3.809301486690816,23.790616468560557,9.635149909683572e-05,4.205857134194037e-06,0.00010055735623102976,5.0610059407635934e-05
5000011,4998586.511751202,3.962158737325083e-05,18.161174526267587,5001132.319512242,2.5523934255649266e-05,1.4537267617686587e-05,4.006120187333585e-05,4.3961450008501974e-07,8783.122516824571,1095,3.927927479747905,25.201036425765217,5.6356208986579995e-05,1.2647842117801317e-05,6.900405110438131e-05,2.938246373113048e-05
9999991,9995179.317856234,9.627036661630228e-06,19.631895668859194,9999991.000000026,1.1302065507136097e-05,2.2204460492503128e-16,1.1302065507358142e-05,1.6750288457279134e-06,18323.64963789597,2100,5.7944493977699,27.32283852471268,3.800018275005236e-05,0.0,3.800018275005236e-05,2.837314608842213e-05
19999999,19995840.88215258,1.4242486575444246e-05,19.633329290441857,20000655.57575142,1.1296147835820552e-05,1.9527538049512073e-06,1.324890164077176e-05,-9.935849346724864e-07,18336.788936325844,2101,4.100230757574836,27.3249068034605,2.546640844355666e-05,1.7875407218460909e-06,2.725394916540275e-05,1.3011462589958504e-05
46909099,46904582.58946166,1.09881833370018e-05,20.535287854004345,46911723.355921865,6.875009305792167e-06,3.1671642098566993e-06,1.0042173515648867e-05,-9.460098213529331e-07,28785.985324312453,3134,4.202933842842582,28.62615795019943,1.5738360094508188e-05,3.2817390430738805e-06,1.902009913758207e-05,8.031915800580269e-06
50000017,49993735.589253806,8.782906020243786e-06,20.602673922562964,50001090.71901144,6.624953801759793e-06,1.2113432960735077e-06,7.836297097833301e-06,-9.466089224104844e-07,29772.396797955855,3227,4.210452017825466,28.723375497133958,1.5103656718025893e-05,1.3629151296868178e-06,1.646657184771271e-05,7.683665827468926e-06
