epsilon,last_prime,prime_count,beta_error_e,true_deficit_a,bridge_b,total_a_plus_b,margin_vs_e,c_beta_actual,c_reserve_actual,c_margin_actual,first_unit_prime,first_unit_over_sqrt_last,last_nonunit_prime,max_exponent,log_n_minus_last_prime
2e-08,3329267,238857,4.845955427112969e-05,4.7799504894335265e-05,2.9515934104028534e-05,7.73154389983638e-05,2.885588472723411e-05,1.3279246279114378,2.1186549713041405,0.7907303433927028,2531,1.3871321324809174,2521,25,1476.1399235334247
1e-08,6382007,437269,1.947267979351963e-05,3.300558879254877e-05,6.480048073113736e-06,3.948563686566251e-05,2.0012957072142876e-05,0.7708066488055078,1.562999635956698,0.7921929871511901,3511,1.3897996288443089,3499,26,648.0373705569655
5e-09,12253883,803588,1.708325438176672e-05,2.278910707192386e-05,8.167558755154668e-06,3.0956665827078524e-05,1.3873411445311802e-05,0.9760310676073061,1.7686716430924745,0.7926405754851683,4861,1.3886370754882784,4831,27,1633.6269404049963
2e-09,29093377,1805089,9.018002268490477e-06,1.4094532532934954e-05,3.484998075094625e-06,1.757953060802958e-05,8.561528339539102e-06,0.8359547089776125,1.6295949985226947,0.7936402895450824,7487,1.3880680751269907,7481,28,1742.5521357394755
1e-09,56048351,3341013,5.2226264402044364e-06,9.69447301087475e-06,1.364985988344562e-06,1.1059458999219313e-05,5.836832559014876e-06,0.6976012194558042,1.4772437149601798,0.7796424955043756,10399,1.389025307037534,10391,29,1365.0025603547692
5e-10,99999989,5761455,4.035858379047852e-06,6.77023419264023e-06,1.582868704591041e-06,8.35310289723127e-06,4.317244518183419e-06,0.7434325419542179,1.5386983230959792,0.7952657811417612,14461,1.4461000795355066,14449,30,2915.796384781599
