y_prime,x_prime,prime_count,required_k_for_ledger,center_k_from_cells,center_k_from_center_csv,k_margin_from_cells,k_margin_from_ledger_csv,total_cell_surplus,normalized_m1_about_required_k,weighted_m2_about_required_k,weighted_m3_about_required_k,weighted_m4_about_required_k,weighted_variance_about_center,weighted_std_about_center,weighted_skewness_about_center,weighted_kurtosis_about_center,min_z,min_z_left_prime,max_z,max_z_left_prime,weighted_q05_z,weighted_q50_z,weighted_q95_z,negative_lambda_mass_about_required_k,positive_lambda_mass_about_required_k,negative_surplus_abs,positive_surplus,min_cell_surplus,min_cell_surplus_left_prime,max_cell_surplus,max_cell_surplus_left_prime,min_partial_surplus,min_partial_surplus_left_prime,final_partial_surplus,min_deficit_d,min_deficit_left_prime,max_deficit_d,max_deficit_left_prime,min_deficit_threshold,min_deficit_threshold_left_prime,max_deficit_threshold,max_deficit_threshold_left_prime,min_deficit_margin,min_deficit_margin_left_prime,abel_initial_component,abel_gap_component,b_weight_sum,required_k_c_weight_sum,abel_surplus,abel_identity_error,c_sum_from_cells,sqrt_weight_integral_from_center_csv,c_sum_relative_error,numerator_sum_from_cells,numerator_sum_from_center_csv,numerator_relative_error,first_moment_identity_error
3329267,6382007,198412,0.14347995718874676,1.089125083389931,1.089125083389464,0.9456451262011843,0.9456451262007172,2.0012957110085527e-05,0.945645126201192,0.9479654180331885,0.9984355881577195,1.09683078026294,0.053720713325109935,0.2317772925139776,0.031743768201417506,2.5729605102292896,0.4132499507001008,3445943,1.7018563320402973,3592553,0.7225455921005614,1.0976139149441106,1.4997798496348593,0.0,1.0,0.0,2.0012957110085527e-05,4.53648416783648e-12,4992707,1.7255163641037278e-09,3583417,9.102487742720033e-11,3329267,2.0012957110085527e-05,757.128654347267,3445943,3835.529460172169,5863499,208.9709961094211,3359113,361.5977374793242,6381911,500.78154584515585,3445943,1.2695394899775614e-05,1.0224393573330169e-05,1.2967583187375604e-07,3.036507194734249e-06,2.001295711024529e-05,1.5976396637931711e-16,2.116328478367015e-05,2.1163284783679247e-05,-4.2985453092455357e-13,2.3049464304819614e-05,2.3049464304819634e-05,-8.819636962171162e-16,7.66053886991358e-15
6382007,12253883,366319,0.13544078180807217,1.0820181078865632,1.0820181078861084,0.946577326078491,0.9465773260780362,1.3873411408114548e-05,0.9465773260785179,0.936421166748176,0.9645808921970878,1.030697968595876,0.04041253250224244,0.2010286857695748,0.20662949319524407,2.6026933600565663,0.5033224466569856,7105247,1.6745743398280992,10219961,0.7850396390761656,1.062230476350285,1.4352675730167785,0.0,1.0,0.0,1.3873411408114548e-05,1.8309217584881614e-12,11624111,5.994380571318194e-10,6695747,1.4973403614183535e-10,6382007,1.3873411408114548e-05,1328.8169768629596,7105253,5348.559273475781,10219591,285.25871082578254,6385619,473.66430922593855,12251147,980.6134030498081,7105247,1.5666498788633337e-05,1.2418766558903735e-07,6.779858215636573e-08,1.9850736286326365e-06,1.3873411407746104e-05,-3.6844408546257007e-16,1.4656395231427464e-05,1.4656395231433586e-05,-4.1772578086755353e-13,1.5858485036746793e-05,1.5858485036746752e-05,2.5637746212198722e-15,2.6867397195928788e-14
12253883,29093377,1001501,0.39243650491771265,1.065903871795526,1.0659038717932958,0.6734673668778134,0.6734673668755832,8.561528123261506e-06,0.67346736687783,0.48989995536961645,0.3764111117301405,0.3019234773991394,0.036341661120247885,0.19063488956706715,-0.3565777962564782,3.002027000638773,0.41410048905446634,12871799,1.6053592887630517,15449773,0.7114487880526331,1.0845473830528911,1.3598100127415953,0.0,1.0,0.0,8.561528123261506e-06,9.46847319488356e-14,12871487,1.8552586822326918e-10,13626257,1.9135659916682356e-11,12253883,8.561528123261506e-06,1475.2373141795397,12871811,7647.840519376099,25674893,1318.1190701605278,12475513,2119.3287922372115,29076599,77.72452113017675,12871799,1.0719700669869691e-05,2.7879229793312336e-06,4.279679257594509e-08,4.988892318604268e-06,8.5615281231726e-06,-8.890627220970587e-17,1.2712610208498202e-05,1.271261020852473e-05,-2.0868312229234412e-12,1.3550420441865562e-05,1.3550420441865489e-05,5.375835663283764e-15,1.6653345369377348e-14
29093377,56048351,1535924,0.10813982172883513,1.0400171107658733,1.0400171107402647,0.9318772890370381,0.9318772890114295,5.836832365670803e-06,0.931877289037054,0.9427996623498762,1.019625784693653,1.1623381624801776,0.07440438052671897,0.2727716637165946,0.11730173471501061,2.109693580818329,0.3467841308994048,30909731,1.8051229180680761,36917099,0.6182503813680726,1.0069514636655241,1.4892497459480927,0.0,1.0,0.0,5.836832365670803e-06,1.716793069321446e-13,30909887,6.636824018188762e-11,36271601,1.3911839088852364e-11,29093377,5.836832365670803e-06,1915.4842144548893,30909673,11864.49060408771,54932897,516.2602726586779,29187271,830.6488675000801,55883519,1326.7794518639264,30909731,6.191216121853893e-06,3.0793020271983716e-07,1.502201550021423e-08,6.773359742858135e-07,5.836832365788131e-06,1.1732846275482392e-16,6.263520352236757e-06,6.263520352390973e-06,-2.4621281946650435e-11,6.514168339956518e-06,6.514168339956504e-06,2.0804692861467097e-15,1.587618925213974e-14
