y_prime,x_prime,block_prime_count,h_log,mu,actual_s_minus1,threshold_s_minus1,margin_s_minus1,moment_1,m1_step_threshold,m1_step_margin,s_margin_from_m1_margin,margin_difference
3329267,6382007,198412,0.04241682799770283,2.1378156561953322e-07,0.04238784581286206,0.04240785861234717,2.0012799485109867e-05,-2.8986704816769127e-05,-8.973917405467183e-06,2.0012787411301944e-05,2.0012791689667427e-05,7.795442439619774e-12
6382007,12253883,366319,0.04079047347188573,1.1135232808531835e-07,0.040788086399037936,0.040801959560594375,1.3873161556439417e-05,-2.389327687479792e-06,1.148381637271796e-05,1.3873144060197752e-05,1.3873145605004727e-05,1.5951434690478542e-11
12253883,29093377,1001501,0.051622050807542,5.154468223950051e-08,0.05161398697056667,0.051622548146829844,8.561176263174874e-06,-8.06523103946688e-06,4.960088411488078e-07,8.561239880615688e-06,8.56124032190209e-06,-6.405872721512587e-11
29093377,56048351,1535924,0.03744350406550147,2.4378487519891262e-08,0.03743970916255001,0.03744554569023103,5.836527681019055e-06,-3.7954802105666374e-06,2.0411682718054214e-06,5.836648482372059e-06,5.836648624660723e-06,-1.2094364166860143e-10
56048351,99999989,2420442,0.03193414957404445,1.3193519850525009e-08,0.03193296302256007,0.03193728007712805,4.317054567985756e-06,-1.186499412053621e-06,3.130292380384017e-06,4.316791792437638e-06,4.316791849391316e-06,2.627185944404067e-10
