y_prime,x_prime,partitions,endpoint_mode,exact_m1,certified_m1_upper,exact_q,q_upper_m1_plus_exact_tail,delta_rho_lower,w_upper_m1_plus_exact_tail,exact_w_block,exact_c_step,c_step_certified,certificate_margin
3329267,6382007,64,exact,-2.898671922914805e-05,0.06277003870273208,-2.8986874516266636e-05,0.06277003854082802,-5.942099885519518e-06,0.06277598064071355,-2.3044774630747118e-05,2.0520780238793437,,0.0627990254153443
6382007,12253883,64,exact,-2.3893557548496763e-06,0.05742280580250799,-2.3894253374234786e-06,0.05742280572080948,1.3466707210697423e-05,0.057409339013598785,-1.58561325481209e-05,2.043328652360521,,0.057425195146146905
12253883,29093377,64,exact,-8.06511271134934e-06,0.05203091567187332,-8.065251933905837e-06,0.052030915586920155,5.4837535491591845e-06,0.052025431833370994,-1.3549005483065022e-05,2.017689649171813,,0.05203898083885406
29093377,56048351,64,exact,-3.7953687581884996e-06,0.04731871831765715,-3.7953758520378744e-06,0.047318718301072045,2.718319588168675e-06,0.04731599998148388,-6.513695440206549e-06,1.9731783508015872,,0.04732251367692408
