rank,n_decimal,log_n,largest_prime_factor,sigma_over_n,robin_boundary,robin_index,robin_margin,exponents
16,16940898923817707803883036864456668768264385772742750340792867228111468990273904245477194404146997181294682572300135518040230936960000,306.77096302819047,283,10.114478212634898,10.19860130246438,1.7663812549014715,0.08412308982948247,2^10 3^7 5^4 7^3 11^2 13^2 17^2 19^2 23^2 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
17,49104054851645529866327643085381648603664886297805073451573528197424547797895374624571577983034774438535311803768508747942698368000,300.9274186111591,283,10.080186594702226,10.164347149742845,1.7663251803115456,0.08416055504061859,2^10 3^6 5^3 7^3 11^2 13^2 17^2 19^2 23^1 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
18,3087412123011300495851995214301626485649741980169578200745289299789026306722292583565231315659291930544327540696937285310080000,291.25305495661627,277,10.021905646794366,10.10614774533482,1.7662258827994497,0.08424209854045372,2^10 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^1 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1
19,40920045709704608221939702571151373836387405248170894542977940164520456498246145520476314985862312032112759836473757289952248640000,300.7450970543652,283,10.078949419804138,10.163267732294,1.7662959676729462,0.08431831248986299,2^9 3^5 5^4 7^3 11^2 13^2 17^2 19^2 23^1 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
20,1129393261587847186925535790963777917884292384849516689386191148540764599351593616365146293609799812086312171486675701202682062464000,304.06291282708827,283,10.09844780230133,10.182808906821204,1.7663168394669786,0.08436110451987489,2^10 3^6 5^3 7^3 11^2 13^2 17^2 19^2 23^2 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
21,1735125613132350878668821310437514084935154992855302948818852586481432784377928431963659999400522064965912077871678754344264960000,297.58455680650997,281,10.060027452605475,10.144451337747723,1.76625002412776,0.08442388514224852,2^11 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^1 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1
22,941161051323205989104613159136481598236910320707930574488492623783970499459661346970955244674833176738593476238896417668901718720000,303.8805912702943,283,10.097208386144368,10.1817406236549,1.7662853553232098,0.08453223751053152,2^9 3^5 5^4 7^3 11^2 13^2 17^2 19^2 23^2 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1 283^1
23,39907889102044070209382890140062823953508564835671967822833609489072954040692353935164179986212007494215977791048611349918094080000,300.72005102243907,281,10.078252140019611,10.163119398523333,1.7661995499873497,0.08486725850372245,2^11 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^2 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1 281^1
24,1543706061505650247925997607150813242824870990084789100372644649894513153361146291782615657829645965272163770348468642655040000,290.5599077760563,277,10.017009747601987,10.101903955704621,1.766104671992837,0.08489420810263404,2^9 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^1 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1
25,71010478829259911404595889928937409169944065543900298617141653895147605054612729422000320260163714402519533436029557562131840000,294.38854917254537,277,10.0400612729661,10.125219462870387,1.7660927028580284,0.0851581899042877,2^10 3^6 5^4 7^3 11^2 13^2 17^2 19^2 23^2 29^1 31^1 37^1 41^1 43^1 47^1 53^1 59^1 61^1 67^1 71^1 73^1 79^1 83^1 89^1 97^1 101^1 103^1 107^1 109^1 113^1 127^1 131^1 137^1 139^1 149^1 151^1 157^1 163^1 167^1 173^1 179^1 181^1 191^1 193^1 197^1 199^1 211^1 223^1 227^1 229^1 233^1 239^1 241^1 251^1 257^1 263^1 269^1 271^1 277^1
